Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2020-11-26,519.81,569.64,576.99,481.75
ETH,2020-11-27,518.65,520,530.820924,494.61
ETH,2020-11-28,538.168636,518.65,548.29277,507.15
ETH,2020-11-29,576.226767,538.173409,576.931347,531.17
ETH,2020-11-30,616.65,576.231591,616.67,571.44
ETH,2020-12-01,586.38,616.65,636.34,565.114747
ETH,2020-12-02,598.268126,586.38,604.76,575.86
ETH,2020-12-03,616.736201,598.2,623.81,586.72
ETH,2020-12-04,567.82,616.736199,620.56,566.3
ETH,2020-12-05,597.093296,567.79,597.69,561.55
ETH,2020-12-06,602.027552,597.093305,607.3,583.71
ETH,2020-12-07,591.498778,602.02759,602.98,584.81
ETH,2020-12-08,554.8,591.498778,595,549.01
ETH,2020-12-09,573.364749,554.8,577.77,530.742008
ETH,2020-12-10,558.58,573.364788,574.75,548.570262
ETH,2020-12-11,544.24,558.58,560.01,535.922
ETH,2020-12-12,568.317219,544.24,574.000154,544.128706
ETH,2020-12-13,590.392243,568.317167,594.78,564.255464
ETH,2020-12-14,586.237715,590.392239,591.297419,576.06
ETH,2020-12-15,589.212401,586.23832,596.61,579.44
ETH,2020-12-16,638.25725,589.212405,639.1,581.5
ETH,2020-12-17,643.81,638.264196,676.464141,627.492099
ETH,2020-12-18,654.994757,643.81,663.97,630
ETH,2020-12-19,659.3,654.994496,670.75644,646.85
ETH,2020-12-20,638.340136,659.3,660.911164,622.191144
ETH,2020-12-21,608.2,638.343957,648.007689,597
ETH,2020-12-22,637.46,608.07,637.655636,588.03
ETH,2020-12-23,585.5,637.46,638.34,552.02
ETH,2020-12-24,612.215631,585.472381,614.77,566.3
ETH,2020-12-25,626.61,612.216659,633.25,604.39
ETH,2020-12-26,636.214774,626.61,651.897698,615.69
ETH,2020-12-27,683.03,636.214699,714.57,625.77
ETH,2020-12-28,729.660437,683.03,746.71,681.11
ETH,2020-12-29,731.84,729.670154,738.910465,689
ETH,2020-12-30,752.41,731.84,758,717
ETH,2020-12-31,737.462543,752.41,755.439089,724
ETH,2021-01-01,730.921125,737.47511,749.93,717.55
ETH,2021-01-02,775.177363,730.92127,788.759191,717.5
ETH,2021-01-03,979.62,775.177187,1011.095521,770.38
ETH,2021-01-04,1042.95,979.33,1165.59,888.700518
ETH,2021-01-05,1102.88,1042.95,1134,975.57
ETH,2021-01-06,1211.73,1102.97,1215,1060.19
ETH,2021-01-07,1226.32981,1211.85,1289.938777,1148.497933
ETH,2021-01-08,1217.84,1226.311882,1274.100511,1068.330472
ETH,2021-01-09,1280.604644,1217.84,1307.984058,1175.32
ETH,2021-01-10,1256,1280.694377,1350.26845,1160.400709
ETH,2021-01-11,1089.15,1256,1258.14,912.679498
ETH,2021-01-12,1049.538218,1088.94,1149.98,1007.69
ETH,2021-01-13,1130.87,1049.554458,1136.828759,987.49
ETH,2021-01-14,1233.01,1130.8,1246.12,1087.24
ETH,2021-01-15,1170.894946,1233.01,1254.87,1069.526931
ETH,2021-01-16,1228.210265,1170.736252,1291.99,1153.18
ETH,2021-01-17,1232.766069,1228.17348,1268.359734,1166.29
ETH,2021-01-18,1258.356716,1232.898013,1260.449361,1184.21
ETH,2021-01-19,1369.205447,1258.357009,1439,1253.12
ETH,2021-01-20,1377.837144,1369.158051,1406.99,1236.07
ETH,2021-01-21,1110.81153,1377.809009,1389.39,1084.41
ETH,2021-01-22,1235.16,1110.817923,1275.046185,1041.925414
ETH,2021-01-23,1233.89,1235.16,1272,1198.280186
ETH,2021-01-24,1392.275264,1233.89,1400.230269,1222.14
ETH,2021-01-25,1318.687183,1392.417488,1474.69,1294.64
ETH,2021-01-26,1368.15,1318.685947,1377.99,1246.29
ETH,2021-01-27,1242.61,1368.15,1374.56,1207.5
ETH,2021-01-28,1332.155153,1240.77,1362.25,1220.29
ETH,2021-01-29,1379.35,1332.259399,1440.958055,1289
ETH,2021-01-30,1377.68,1379.797095,1406.254227,1327.78267
